TEMP	MOLEFRAC ETHYL-01	TOTAL PRES	TOTAL KVL ETHYL-01	TOTAL KVL N-HEP-01	LIQUID1 GAMMA ETHYL-01	LIQUID1 GAMMA N-HEP-01	LIQUID2 GAMMA ETHYL-01	LIQUID2 GAMMA N-HEP-01	TOTAL KVL2 ETHYL-01	TOTAL KVL2 N-HEP-01	TOTAL BETA	VAPOR MOLEFRAC ETHYL-01	VAPOR MOLEFRAC N-HEP-01	LIQUID1 MOLEFRAC ETHYL-01	LIQUID1 MOLEFRAC N-HEP-01	LIQUID2 MOLEFRAC ETHYL-01	LIQUID2 MOLEFRAC N-HEP-01
30	0.7	0.5849809	1.352773	0.1768624	1.057271	1.296826					1	0.9469413	0.0530587	0.7	0.3		
30	0.71	0.5902628	1.336242	0.1767864	1.053624	1.307581					1	0.948732	0.051268	0.71	0.29		
30	0.72	0.5955441	1.320152	0.1767531	1.050093	1.318639					1	0.9505091	0.0494908	0.72	0.28		
30	0.73	0.6008268	1.304485	0.1767622	1.04668	1.330007					1	0.9522742	0.0477257	0.73	0.27		
30	0.74	0.6061131	1.289228	0.1768131	1.043383	1.341695					1	0.9540286	0.0459714	0.74	0.26		
30	0.75	0.6114051	1.274365	0.1769055	1.040204	1.353712					1	0.9557736	0.0442263	0.75	0.25		
30	0.76	0.6167048	1.259882	0.1770391	1.037141	1.366068					1	0.9575106	0.0424893	0.76	0.24		
30	0.77	0.6220143	1.245767	0.1772135	1.034196	1.378773					1	0.9592409	0.0407591	0.77	0.23		
30	0.78	0.6273359	1.232007	0.1774285	1.031368	1.391839					1	0.9609657	0.0390342	0.78	0.22		
30	0.79	0.6326716	1.21859	0.1776841	1.028658	1.405277					1	0.9626863	0.0373136	0.79	0.21		
30	0.8	0.6380236	1.205505	0.17798	1.026065	1.419097					1	0.964404	0.0355959	0.8	0.2		
30	0.81	0.643394	1.192741	0.1783162	1.023591	1.433312					1	0.9661199	0.03388	0.81	0.19		
30	0.82	0.6487852	1.180287	0.1786927	1.021235	1.447935					1	0.9678353	0.0321646	0.82	0.18		
30	0.83	0.6541992	1.168134	0.1791095	1.018999	1.462979					1	0.9695514	0.0304486	0.83	0.17		
30	0.84	0.6596383	1.156273	0.1795668	1.016882	1.478457					1	0.9712693	0.0287306	0.84	0.16		
30	0.85	0.6651048	1.144694	0.1800646	1.014885	1.494385					1	0.9729903	0.0270097	0.85	0.15		
30	0.86	0.670601	1.13339	0.1806033	1.013009	1.510775					1	0.9747155	0.0252844	0.86	0.14		
30	0.87	0.6761292	1.122352	0.1811829	1.011255	1.527646					1	0.9764462	0.0235537	0.87	0.13		
30	0.88	0.6816909	1.111574	0.181804	1.009624	1.545011					1	0.9781835	0.0218165	0.88	0.12		
30	0.89	0.6872903	1.101045	0.1824665	1.008115	1.562889					1	0.9799287	0.0200713	0.89	0.11		
30	0.9	0.6929287	1.09076	0.183171	1.006732	1.581297					1	0.9816829	0.0183171	0.9	0.1		
30	0.91	0.6986087	1.080712	0.183918	1.005473	1.600254					1	0.9834474	0.0165526	0.91	0.09		
30	0.92	0.7043327	1.070895	0.1847079	1.004341	1.619778					1	0.9852234	0.0147766	0.92	0.08		
30	0.93	0.7101032	1.061304	0.1855413	1.003337	1.63989					1	0.9870121	0.0129879	0.93	0.07		
30	0.94	0.7159227	1.051931	0.1864187	1.002462	1.660611					1	0.9888149	0.0111851	0.94	0.06		
30	0.95	0.7217938	1.042772	0.1873409	1.001716	1.681962					1	0.990633	0.00936705	0.95	0.05		
30	0.96	0.7277192	1.033821	0.1883084	1.001103	1.703968					1	0.9924677	0.00753234	0.96	0.04		
30	0.97	0.7337015	1.025072	0.189322	1.000623	1.726651					1	0.9943203	0.00567966	0.97	0.03		
30	0.98	0.7397434	1.016523	0.1903826	1.000278	1.750036					1	0.9961923	0.00380765	0.98	0.02		
30	0.99	0.7458476	1.008167	0.1914909	1.00007	1.774151					1	0.9980851	0.00191491	0.99	0.01		
30	1	0.7520168	1	0.192648	1	1.799022					1	1	0	1	0		
