TEMP	MOLEFRAC BENZE-01	TOTAL PRES	TOTAL KVL BENZE-01	TOTAL KVL 2:2:4-01	LIQUID1 GAMMA BENZE-01	LIQUID1 GAMMA 2:2:4-01	LIQUID2 GAMMA BENZE-01	LIQUID2 GAMMA 2:2:4-01	TOTAL KVL2 BENZE-01	TOTAL KVL2 2:2:4-01	TOTAL BETA	VAPOR MOLEFRAC BENZE-01	VAPOR MOLEFRAC 2:2:4-01	LIQUID1 MOLEFRAC BENZE-01	LIQUID1 MOLEFRAC 2:2:4-01	LIQUID2 MOLEFRAC BENZE-01	LIQUID2 MOLEFRAC 2:2:4-01
55	0.87	0.431075	1.027002	0.8192975	1.017595	1.470887					1	0.8934914	0.1065086	0.87	0.13		
55	0.88	0.431773	1.022997	0.8313616	1.015241	1.494931					1	0.9002366	0.0997633	0.88	0.12		
55	0.89	0.4324222	1.019253	0.8442287	1.013022	1.520324					1	0.9071349	0.0928651	0.89	0.11		
55	0.9	0.4330196	1.015783	0.8579572	1.010945	1.54716					1	0.9142043	0.0857957	0.9	0.1		
55	0.91	0.433562	1.012599	0.8726117	1.009018	1.575542					1	0.921465	0.078535	0.91	0.09		
55	0.92	0.4340458	1.009716	0.8882637	1.00725	1.605582					1	0.9289389	0.071061	0.92	0.08		
55	0.93	0.4344666	1.007151	0.9049923	1.005649	1.637404					1	0.9366505	0.0633494	0.93	0.07		
55	0.94	0.4348195	1.004922	0.9228855	1.004224	1.671141					1	0.9446269	0.0553731	0.94	0.06		
55	0.95	0.4350989	1.003051	0.9420416	1.002987	1.706939					1	0.9528979	0.047102	0.95	0.05		
55	0.96	0.4352982	1.00156	0.96257	1.001947	1.744961					1	0.9614972	0.0385028	0.96	0.04		
55	0.97	0.43541	1.000476	0.9845937	1.001116	1.785382					1	0.9704622	0.0295378	0.97	0.03		
55	0.98	0.4354258	0.9998315	1.008251	1.000505	1.828397					1	0.979835	0.020165	0.98	0.02		
55	0.99	0.4353357	0.9996595	1.033697	1.000129	1.874222					1	0.989663	0.0103369	0.99	0.01		
55	1	0.4351285	1	1.061109	1	1.923092					1	1	0	1	0		
